SEP=	
Simbol	Cotatie	Capitalizare	MedieZilnicaTranz	VarYoY	VarYTD	BET_YTD	BET_YoY	VariatieCA	VariatieProfitNet	PE	PBV	GradIndatorare	CapitNetpeAct	ROE	ROA	MarjaOperationala	MarjaNeta	DataURap	PS	PAvgProfit	PBVxPE	PretNWCPS	nume	RandDividendHist	RandDividend	capmln
BIOW	0.071	3565503.3469999996	1370.6360661764704	-2.0689655172413834	-15.476190476190489	-43.9858074178411	-83.69461675624838				0.6270819562195021	42.980109152661896	-0.044640448909947415	-31.08181428859109	-17.72281658072698		-124.40184314669574	2025-12-31	2.509832612518249				Vifrana SA			3.5655033469999995
BKBETETF	43.115	3449200	14740.11184647303	84.60715050310425	49.08367911479945	20.574062173148835	2.981499264097252																FONDUL DESCHIS DE INVESTITII ETF BET BRK			3.4492
BLEA	0.51	2575915.65		0	0	-28.509616941650616	-81.625651239007				0.2082485160392584	9.184064616344493	2.448997043051468	-0.41949383120371503	-0.38096724668438675			2025-12-31				0.2082485160392584	BALEA ESTIVAL 2002 SA NEPTUN			2.57591565
BNAT	0.159	623304.327		0	0	-28.509616941650616	-81.625651239007				0.06581769090799273	34.95627104097286	2.4157638745222445	-33.5128937577005	-21.79803578208544			2025-12-31				0.06581769090799272	BANAT ESTIVAL 2002 SA OLIMP			0.623304327
BNET	0.0996	63164000.71439999	60621.080794736874	-21.264822134387362	-12.631578947368427	-41.141195889019045	-102.89047337339436	14.682142805226883		123.0418010074919	1.0082473707281197	73.03578411405611	-0.06969733360471511	-7.740490435993316	-1.3378415212261472	0.33682773341454214	-1.3059875436205641	2025-12-31	0.15748723674818368		124.05657235545621		BITTNET SYSTEMS SA BUCURESTI			63.1640007144
BONA	0.52	6134583.5200000005	2181.608034285716	-30.201342281879196	-13.33333333333333	-41.84295027498395	-111.82699352088619	-45.256573724451634			0.4980057732001613	44.65420045945157	-0.4806192548178071	-19.82026385946106	-11.59841688843739		-11.460586932043748	2025-12-31	0.3398927871571532				BONAS Import Export SA			6.1345835200000005
BRCR	0.3	22839770.4	552.1414385964912	19.047619047619047	-18.918918918918926	-47.42853586056954	-62.57803219138795				1.12429321290739	21.871470549380437	0.06276433496897149	-9.920840396950378	-7.75100671128034		-45.26049752486198	2025-12-31	5.129209637890777			4.7797845726925905	BRAICONF SA BRAILA			22.8397704
BRD	37.4	26064116773.2	2498648.563481781	91.79487179487178	39.033457249070636	10.52384030742002	10.169220555864783		5.481398467049581	16.655696756486293	2.3987095741343256			14.614799344155841	1.5765405498347644		35.53663583859416	2025-12-31		74.81920144179799	39.952179273661706		BRD - GROUPE SOCIETE GENERALE S.A.	5.911173184357542	2.829144385026738	26064.1167732
BRK	0.127	42853603.904	114200.27162307705	49.061032863849775	25.12315270935961	-3.386464232291008	-32.564618375157224			4.79099479452162	0.4790235339504836			5.859547918309636	1.350958925828625		8.891361672304884	2025-12-31		59.196192843181265	2.294999257610117		SSIF BRK FINANCIAL GROUP SA			42.853603903999996
BRM	2.28	49140951.72	2361.970534759359	-8.800000000000008	-11.627906976744196	-40.13752391839481	-90.42565123900701	-8.422744940422211		47.16461294381531	2.3297558976078365	42.00706250439564	0.6327145639579811	5.89059675798895	3.8037451697168887	8.288851292367951	3.519696444679964	2025-12-31	1.2537728345397368		109.88203516424461	3.603520655091821	BERMAS S.A.	2.6923076923076925	3.211009174311927	49.14095172
